prefix	 next_hop	 masca	 interfata
6b01c0 26b01c0 ffffff 2
6c01c0 26c01c0 ffffff 0
6d01c0 26d01c0 ffffff 3
6e01c0 26e01c0 ffffff 1
6f01c0 26f01c0 ffffff 1
7001c0 27001c0 ffffff 1
7101c0 27101c0 ffffff 3
7201c0 27201c0 ffffff 1
7301c0 27301c0 ffffff 2
7401c0 27401c0 ffffff 1
7501c0 27501c0 ffffff 1
7601c0 27601c0 ffffff 1
7701c0 27701c0 ffffff 1
7801c0 27801c0 ffffff 2
7901c0 27901c0 ffffff 0
7a01c0 27a01c0 ffffff 0
7b01c0 27b01c0 ffffff 1
7c01c0 27c01c0 ffffff 1
7d01c0 27d01c0 ffffff 1
7e01c0 27e01c0 ffffff 0
7f01c0 27f01c0 ffffff 1
8001c0 28001c0 ffffff 3
8101c0 28101c0 ffffff 2
8201c0 28201c0 ffffff 2
8301c0 28301c0 ffffff 0
8401c0 28401c0 ffffff 0
8501c0 28501c0 ffffff 1
8601c0 28601c0 ffffff 3
8701c0 28701c0 ffffff 1
8801c0 28801c0 ffffff 0
8901c0 28901c0 ffffff 1
8a01c0 28a01c0 ffffff 3
8b01c0 28b01c0 ffffff 0
8c01c0 28c01c0 ffffff 0
8d01c0 28d01c0 ffffff 2
8e01c0 28e01c0 ffffff 1
8f01c0 28f01c0 ffffff 2
9001c0 29001c0 ffffff 2
9101c0 29101c0 ffffff 0
9201c0 29201c0 ffffff 3
9301c0 29301c0 ffffff 2
9401c0 29401c0 ffffff 3
9501c0 29501c0 ffffff 2
9601c0 29601c0 ffffff 3
9701c0 29701c0 ffffff 1
9801c0 29801c0 ffffff 0
9901c0 29901c0 ffffff 1
9a01c0 29a01c0 ffffff 0
9b01c0 29b01c0 ffffff 1
9c01c0 29c01c0 ffffff 1
9d01c0 29d01c0 ffffff 1
9e01c0 29e01c0 ffffff 1
9f01c0 29f01c0 ffffff 2
a001c0 2a001c0 ffffff 1
a101c0 2a101c0 ffffff 2
a201c0 2a201c0 ffffff 0
a301c0 2a301c0 ffffff 2
a401c0 2a401c0 ffffff 2
a501c0 2a501c0 ffffff 0
a601c0 2a601c0 ffffff 2
a701c0 2a701c0 ffffff 0
a801c0 2a801c0 ffffff 3
a901c0 2a901c0 ffffff 3
aa01c0 2aa01c0 ffffff 2
ab01c0 2ab01c0 ffffff 1
ac01c0 2ac01c0 ffffff 0
ad01c0 2ad01c0 ffffff 1
ae01c0 2ae01c0 ffffff 2
af01c0 2af01c0 ffffff 3
b001c0 2b001c0 ffffff 3
b101c0 2b101c0 ffffff 3
b201c0 2b201c0 ffffff 3
b301c0 2b301c0 ffffff 1
b401c0 2b401c0 ffffff 0
b501c0 2b501c0 ffffff 0
b601c0 2b601c0 ffffff 3
b701c0 2b701c0 ffffff 1
b801c0 2b801c0 ffffff 3
b901c0 2b901c0 ffffff 0
ba01c0 2ba01c0 ffffff 0
bb01c0 2bb01c0 ffffff 1
bc01c0 2bc01c0 ffffff 1
bd01c0 2bd01c0 ffffff 3
be01c0 2be01c0 ffffff 3
bf01c0 2bf01c0 ffffff 2
c001c0 2c001c0 ffffff 3
c101c0 2c101c0 ffffff 0
c201c0 2c201c0 ffffff 2
c301c0 2c301c0 ffffff 1
c401c0 2c401c0 ffffff 0
c501c0 2c501c0 ffffff 1
c601c0 2c601c0 ffffff 2
c701c0 2c701c0 ffffff 1
c801c0 2c801c0 ffffff 1
c901c0 2c901c0 ffffff 1
ca01c0 2ca01c0 ffffff 2
cb01c0 2cb01c0 ffffff 1
cc01c0 2cc01c0 ffffff 3
cd01c0 2cd01c0 ffffff 2
ce01c0 2ce01c0 ffffff 3
cf01c0 2cf01c0 ffffff 2
d001c0 2d001c0 ffffff 1
d101c0 2d101c0 ffffff 3
d201c0 2d201c0 ffffff 2
d301c0 2d301c0 ffffff 1
d401c0 2d401c0 ffffff 2
d501c0 2d501c0 ffffff 1
d601c0 2d601c0 ffffff 1
d701c0 2d701c0 ffffff 1
d801c0 2d801c0 ffffff 3
d901c0 2d901c0 ffffff 2
da01c0 2da01c0 ffffff 3
db01c0 2db01c0 ffffff 3
dc01c0 2dc01c0 ffffff 2
dd01c0 2dd01c0 ffffff 1
de01c0 2de01c0 ffffff 0
df01c0 2df01c0 ffffff 1
e001c0 2e001c0 ffffff 2
e101c0 2e101c0 ffffff 3
e201c0 2e201c0 ffffff 0
e301c0 2e301c0 ffffff 1
e401c0 2e401c0 ffffff 2
e501c0 2e501c0 ffffff 2
e601c0 2e601c0 ffffff 2
e701c0 2e701c0 ffffff 0
e801c0 2e801c0 ffffff 1
e901c0 2e901c0 ffffff 0
ea01c0 2ea01c0 ffffff 0
eb01c0 2eb01c0 ffffff 0
ec01c0 2ec01c0 ffffff 0
ed01c0 2ed01c0 ffffff 3
ee01c0 2ee01c0 ffffff 2
ef01c0 2ef01c0 ffffff 2
f001c0 2f001c0 ffffff 1
f101c0 2f101c0 ffffff 1
f201c0 2f201c0 ffffff 0
f301c0 2f301c0 ffffff 0
f401c0 2f401c0 ffffff 1
f501c0 2f501c0 ffffff 0
f601c0 2f601c0 ffffff 3
f701c0 2f701c0 ffffff 2
f801c0 2f801c0 ffffff 1
f901c0 2f901c0 ffffff 0
fa01c0 2fa01c0 ffffff 1
fb01c0 2fb01c0 ffffff 2
fc01c0 2fc01c0 ffffff 3
fd01c0 2fd01c0 ffffff 0
fe01c0 2fe01c0 ffffff 2
ff01c0 2ff01c0 ffffff 1
402c0 20402c0 ffffff 1
502c0 20502c0 ffffff 1
602c0 20602c0 ffffff 0
702c0 20702c0 ffffff 1
802c0 20802c0 ffffff 0
902c0 20902c0 ffffff 3
a02c0 20a02c0 ffffff 0
b02c0 20b02c0 ffffff 3
c02c0 20c02c0 ffffff 3
d02c0 20d02c0 ffffff 0
e02c0 20e02c0 ffffff 3
f02c0 20f02c0 ffffff 3
1002c0 21002c0 ffffff 2
1102c0 21102c0 ffffff 1
1202c0 21202c0 ffffff 2
1302c0 21302c0 ffffff 2
1402c0 21402c0 ffffff 1
1502c0 21502c0 ffffff 1
1602c0 21602c0 ffffff 0
1702c0 21702c0 ffffff 2
1802c0 21802c0 ffffff 2
1902c0 21902c0 ffffff 1
1a02c0 21a02c0 ffffff 0
1b02c0 21b02c0 ffffff 1
1c02c0 21c02c0 ffffff 0
1d02c0 21d02c0 ffffff 3
1e02c0 21e02c0 ffffff 1
1f02c0 21f02c0 ffffff 2
2002c0 22002c0 ffffff 3
2102c0 22102c0 ffffff 2
2202c0 22202c0 ffffff 3
2302c0 22302c0 ffffff 0
2402c0 22402c0 ffffff 1
2502c0 22502c0 ffffff 3
2602c0 22602c0 ffffff 3
2702c0 22702c0 ffffff 0
2802c0 22802c0 ffffff 0
2902c0 22902c0 ffffff 2
2a02c0 22a02c0 ffffff 2
2b02c0 22b02c0 ffffff 1
2c02c0 22c02c0 ffffff 2
2d02c0 22d02c0 ffffff 3
2e02c0 22e02c0 ffffff 1
2f02c0 22f02c0 ffffff 3
3002c0 23002c0 ffffff 2
3102c0 23102c0 ffffff 1
3202c0 23202c0 ffffff 3
3302c0 23302c0 ffffff 0
3402c0 23402c0 ffffff 0
3502c0 23502c0 ffffff 1
3602c0 23602c0 ffffff 3
3702c0 23702c0 ffffff 0
3802c0 23802c0 ffffff 0
3902c0 23902c0 ffffff 3
3a02c0 23a02c0 ffffff 2
3b02c0 23b02c0 ffffff 3
3c02c0 23c02c0 ffffff 1
3d02c0 23d02c0 ffffff 2
3e02c0 23e02c0 ffffff 2
3f02c0 23f02c0 ffffff 2
4002c0 24002c0 ffffff 1
4102c0 24102c0 ffffff 2
4202c0 24202c0 ffffff 0
4302c0 24302c0 ffffff 1
4402c0 24402c0 ffffff 0
4502c0 24502c0 ffffff 3
4602c0 24602c0 ffffff 2
4702c0 24702c0 ffffff 1
4802c0 24802c0 ffffff 1
4902c0 24902c0 ffffff 1
4a02c0 24a02c0 ffffff 1
4b02c0 24b02c0 ffffff 2
4c02c0 24c02c0 ffffff 2
4d02c0 24d02c0 ffffff 3
4e02c0 24e02c0 ffffff 2
4f02c0 24f02c0 ffffff 0
5002c0 25002c0 ffffff 0
5102c0 25102c0 ffffff 0
5202c0 25202c0 ffffff 3
5302c0 25302c0 ffffff 3
5402c0 25402c0 ffffff 3
5502c0 25502c0 ffffff 2
5602c0 25602c0 ffffff 1
5702c0 25702c0 ffffff 2
5802c0 25802c0 ffffff 0
5902c0 25902c0 ffffff 3
5a02c0 25a02c0 ffffff 1
5b02c0 25b02c0 ffffff 3
5c02c0 25c02c0 ffffff 2
5d02c0 25d02c0 ffffff 1
5e02c0 25e02c0 ffffff 1
5f02c0 25f02c0 ffffff 1
6002c0 26002c0 ffffff 0
6102c0 26102c0 ffffff 0
6202c0 26202c0 ffffff 1
6302c0 26302c0 ffffff 2
6402c0 26402c0 ffffff 1
6502c0 26502c0 ffffff 3
6602c0 26602c0 ffffff 3
6702c0 26702c0 ffffff 1
6802c0 26802c0 ffffff 3
6902c0 26902c0 ffffff 2
6a02c0 26a02c0 ffffff 0
6b02c0 26b02c0 ffffff 2
6c02c0 26c02c0 ffffff 0
6d02c0 26d02c0 ffffff 1
6e02c0 26e02c0 ffffff 0
6f02c0 26f02c0 ffffff 1
7002c0 27002c0 ffffff 1
7102c0 27102c0 ffffff 3
7202c0 27202c0 ffffff 0
7302c0 27302c0 ffffff 3
7402c0 27402c0 ffffff 3
7502c0 27502c0 ffffff 2
7602c0 27602c0 ffffff 2
7702c0 27702c0 ffffff 2
7802c0 27802c0 ffffff 0
7902c0 27902c0 ffffff 0
7a02c0 27a02c0 ffffff 2
7b02c0 27b02c0 ffffff 2
7c02c0 27c02c0 ffffff 3
7d02c0 27d02c0 ffffff 1
7e02c0 27e02c0 ffffff 2
7f02c0 27f02c0 ffffff 3
8002c0 28002c0 ffffff 2
8102c0 28102c0 ffffff 3
8202c0 28202c0 ffffff 0
8302c0 28302c0 ffffff 3
8402c0 28402c0 ffffff 1
8502c0 28502c0 ffffff 3
8602c0 28602c0 ffffff 0
8702c0 28702c0 ffffff 0
8802c0 28802c0 ffffff 0
8902c0 28902c0 ffffff 1
8a02c0 28a02c0 ffffff 0
8b02c0 28b02c0 ffffff 2
8c02c0 28c02c0 ffffff 1
8d02c0 28d02c0 ffffff 0
8e02c0 28e02c0 ffffff 1
8f02c0 28f02c0 ffffff 1
9002c0 29002c0 ffffff 0
9102c0 29102c0 ffffff 2
9202c0 29202c0 ffffff 3
9302c0 29302c0 ffffff 2
9402c0 29402c0 ffffff 1
9502c0 29502c0 ffffff 1
9602c0 29602c0 ffffff 1
9702c0 29702c0 ffffff 0
9802c0 29802c0 ffffff 2
9902c0 29902c0 ffffff 2
9a02c0 29a02c0 ffffff 3
9b02c0 29b02c0 ffffff 3
9c02c0 29c02c0 ffffff 2
9d02c0 29d02c0 ffffff 0
9e02c0 29e02c0 ffffff 1
9f02c0 29f02c0 ffffff 1
a002c0 2a002c0 ffffff 0
a102c0 2a102c0 ffffff 1
a202c0 2a202c0 ffffff 2
a302c0 2a302c0 ffffff 1
a402c0 2a402c0 ffffff 0
a502c0 2a502c0 ffffff 2
a602c0 2a602c0 ffffff 0
a702c0 2a702c0 ffffff 3
a802c0 2a802c0 ffffff 1
a902c0 2a902c0 ffffff 3
aa02c0 2aa02c0 ffffff 0
ab02c0 2ab02c0 ffffff 1
ac02c0 2ac02c0 ffffff 2
ad02c0 2ad02c0 ffffff 3
ae02c0 2ae02c0 ffffff 2
af02c0 2af02c0 ffffff 3
b002c0 2b002c0 ffffff 0
b102c0 2b102c0 ffffff 1
b202c0 2b202c0 ffffff 2
b302c0 2b302c0 ffffff 2
b402c0 2b402c0 ffffff 0
b502c0 2b502c0 ffffff 3
b602c0 2b602c0 ffffff 0
b702c0 2b702c0 ffffff 1
b802c0 2b802c0 ffffff 3
b902c0 2b902c0 ffffff 2
ba02c0 2ba02c0 ffffff 2
bb02c0 2bb02c0 ffffff 3
bc02c0 2bc02c0 ffffff 0
bd02c0 2bd02c0 ffffff 0
be02c0 2be02c0 ffffff 1
bf02c0 2bf02c0 ffffff 1
c002c0 2c002c0 ffffff 1
c102c0 2c102c0 ffffff 1
c202c0 2c202c0 ffffff 2
c302c0 2c302c0 ffffff 2
c402c0 2c402c0 ffffff 2
c502c0 2c502c0 ffffff 1
c602c0 2c602c0 ffffff 2
c702c0 2c702c0 ffffff 1
c802c0 2c802c0 ffffff 1
c902c0 2c902c0 ffffff 0
ca02c0 2ca02c0 ffffff 1
cb02c0 2cb02c0 ffffff 0
cc02c0 2cc02c0 ffffff 0
cd02c0 2cd02c0 ffffff 1
ce02c0 2ce02c0 ffffff 2
cf02c0 2cf02c0 ffffff 3
d002c0 2d002c0 ffffff 0
d102c0 2d102c0 ffffff 2
d202c0 2d202c0 ffffff 2
d302c0 2d302c0 ffffff 0
d402c0 2d402c0 ffffff 0
d502c0 2d502c0 ffffff 3
d602c0 2d602c0 ffffff 1
d702c0 2d702c0 ffffff 3
d802c0 2d802c0 ffffff 2
d902c0 2d902c0 ffffff 1
da02c0 2da02c0 ffffff 3
db02c0 2db02c0 ffffff 0
dc02c0 2dc02c0 ffffff 3
dd02c0 2dd02c0 ffffff 3
de02c0 2de02c0 ffffff 0
df02c0 2df02c0 ffffff 1
e002c0 2e002c0 ffffff 0
e102c0 2e102c0 ffffff 3
e202c0 2e202c0 ffffff 0
e302c0 2e302c0 ffffff 2
e402c0 2e402c0 ffffff 3
e502c0 2e502c0 ffffff 0
e602c0 2e602c0 ffffff 3
e702c0 2e702c0 ffffff 1
e802c0 2e802c0 ffffff 1
e902c0 2e902c0 ffffff 2
ea02c0 2ea02c0 ffffff 2
eb02c0 2eb02c0 ffffff 2
ec02c0 2ec02c0 ffffff 2
ed02c0 2ed02c0 ffffff 0
ee02c0 2ee02c0 ffffff 2
ef02c0 2ef02c0 ffffff 3
f002c0 2f002c0 ffffff 1
f102c0 2f102c0 ffffff 0
f202c0 2f202c0 ffffff 1
f302c0 2f302c0 ffffff 1
f402c0 2f402c0 ffffff 0
f502c0 2f502c0 ffffff 1
f602c0 2f602c0 ffffff 2
f702c0 2f702c0 ffffff 2
f802c0 2f802c0 ffffff 2
f902c0 2f902c0 ffffff 3
fa02c0 2fa02c0 ffffff 0
fb02c0 2fb02c0 ffffff 1
fc02c0 2fc02c0 ffffff 3
fd02c0 2fd02c0 ffffff 2
fe02c0 2fe02c0 ffffff 2
ff02c0 2ff02c0 ffffff 3
403c0 20403c0 ffffff 0
503c0 20503c0 ffffff 1
603c0 20603c0 ffffff 3
703c0 20703c0 ffffff 2
803c0 20803c0 ffffff 2
903c0 20903c0 ffffff 2
a03c0 20a03c0 ffffff 3
b03c0 20b03c0 ffffff 0
c03c0 20c03c0 ffffff 3
d03c0 20d03c0 ffffff 2
e03c0 20e03c0 ffffff 3
f03c0 20f03c0 ffffff 2
1003c0 21003c0 ffffff 2
1103c0 21103c0 ffffff 2
1203c0 21203c0 ffffff 3
1303c0 21303c0 ffffff 3
1403c0 21403c0 ffffff 1
1503c0 21503c0 ffffff 2
1603c0 21603c0 ffffff 3
1703c0 21703c0 ffffff 2
1803c0 21803c0 ffffff 1
1903c0 21903c0 ffffff 3
1a03c0 21a03c0 ffffff 1
1b03c0 21b03c0 ffffff 2
1c03c0 21c03c0 ffffff 3
1d03c0 21d03c0 ffffff 3
1e03c0 21e03c0 ffffff 0
1f03c0 21f03c0 ffffff 1
2003c0 22003c0 ffffff 2
2103c0 22103c0 ffffff 1
2203c0 22203c0 ffffff 3
2303c0 22303c0 ffffff 0
2403c0 22403c0 ffffff 1
2503c0 22503c0 ffffff 1
2603c0 22603c0 ffffff 3
2703c0 22703c0 ffffff 1
2803c0 22803c0 ffffff 2
2903c0 22903c0 ffffff 2
2a03c0 22a03c0 ffffff 0
2b03c0 22b03c0 ffffff 2
2c03c0 22c03c0 ffffff 1
2d03c0 22d03c0 ffffff 1
2e03c0 22e03c0 ffffff 1
2f03c0 22f03c0 ffffff 1
3003c0 23003c0 ffffff 1
3103c0 23103c0 ffffff 0
3203c0 23203c0 ffffff 2
3303c0 23303c0 ffffff 2
3403c0 23403c0 ffffff 3
3503c0 23503c0 ffffff 1
3603c0 23603c0 ffffff 1
3703c0 23703c0 ffffff 3
3803c0 23803c0 ffffff 0
3903c0 23903c0 ffffff 1
3a03c0 23a03c0 ffffff 3
3b03c0 23b03c0 ffffff 3
3c03c0 23c03c0 ffffff 1
3d03c0 23d03c0 ffffff 0
3e03c0 23e03c0 ffffff 2
3f03c0 23f03c0 ffffff 3
4003c0 24003c0 ffffff 1
4103c0 24103c0 ffffff 2
4203c0 24203c0 ffffff 1
4303c0 24303c0 ffffff 2
4403c0 24403c0 ffffff 0
4503c0 24503c0 ffffff 1
4603c0 24603c0 ffffff 2
4703c0 24703c0 ffffff 0
4803c0 24803c0 ffffff 0
4903c0 24903c0 ffffff 1
4a03c0 24a03c0 ffffff 1
4b03c0 24b03c0 ffffff 3
4c03c0 24c03c0 ffffff 2
4d03c0 24d03c0 ffffff 0
4e03c0 24e03c0 ffffff 3
4f03c0 24f03c0 ffffff 1
5003c0 25003c0 ffffff 0
5103c0 25103c0 ffffff 3
5203c0 25203c0 ffffff 1
5303c0 25303c0 ffffff 0
5403c0 25403c0 ffffff 2
5503c0 25503c0 ffffff 1
5603c0 25603c0 ffffff 0
5703c0 25703c0 ffffff 0
5803c0 25803c0 ffffff 3
5903c0 25903c0 ffffff 0
5a03c0 25a03c0 ffffff 2
5b03c0 25b03c0 ffffff 0
5c03c0 25c03c0 ffffff 2
5d03c0 25d03c0 ffffff 2
5e03c0 25e03c0 ffffff 1
5f03c0 25f03c0 ffffff 1
6003c0 26003c0 ffffff 2
6103c0 26103c0 ffffff 0
6203c0 26203c0 ffffff 3
6303c0 26303c0 ffffff 0
6403c0 26403c0 ffffff 2
6503c0 26503c0 ffffff 2
6603c0 26603c0 ffffff 2
6703c0 26703c0 ffffff 1
6803c0 26803c0 ffffff 3
6903c0 26903c0 ffffff 0
6a03c0 26a03c0 ffffff 1
6b03c0 26b03c0 ffffff 3
6c03c0 26c03c0 ffffff 2
6d03c0 26d03c0 ffffff 2
6e03c0 26e03c0 ffffff 3
6f03c0 26f03c0 ffffff 0
7003c0 27003c0 ffffff 1
7103c0 27103c0 ffffff 2
7203c0 27203c0 ffffff 1
7303c0 27303c0 ffffff 2
7403c0 27403c0 ffffff 2
7503c0 27503c0 ffffff 3
7603c0 27603c0 ffffff 1
7703c0 27703c0 ffffff 1
7803c0 27803c0 ffffff 3
7903c0 27903c0 ffffff 2
7a03c0 27a03c0 ffffff 0
7b03c0 27b03c0 ffffff 1
7c03c0 27c03c0 ffffff 2
7d03c0 27d03c0 ffffff 0
7e03c0 27e03c0 ffffff 3
7f03c0 27f03c0 ffffff 2
8003c0 28003c0 ffffff 1
8103c0 28103c0 ffffff 3
8203c0 28203c0 ffffff 0
8303c0 28303c0 ffffff 0
8403c0 28403c0 ffffff 0
8503c0 28503c0 ffffff 3
8603c0 28603c0 ffffff 3
8703c0 28703c0 ffffff 1
8803c0 28803c0 ffffff 0
8903c0 28903c0 ffffff 0
8a03c0 28a03c0 ffffff 2
8b03c0 28b03c0 ffffff 0
8c03c0 28c03c0 ffffff 0
8d03c0 28d03c0 ffffff 2
8e03c0 28e03c0 ffffff 3
8f03c0 28f03c0 ffffff 3
9003c0 29003c0 ffffff 1
9103c0 29103c0 ffffff 2
9203c0 29203c0 ffffff 1
9303c0 29303c0 ffffff 3
9403c0 29403c0 ffffff 1
9503c0 29503c0 ffffff 2
9603c0 29603c0 ffffff 2
9703c0 29703c0 ffffff 2
9803c0 29803c0 ffffff 2
9903c0 29903c0 ffffff 2
9a03c0 29a03c0 ffffff 3
9b03c0 29b03c0 ffffff 0
9c03c0 29c03c0 ffffff 1
9d03c0 29d03c0 ffffff 2
9e03c0 29e03c0 ffffff 1
9f03c0 29f03c0 ffffff 3
a003c0 2a003c0 ffffff 2
a103c0 2a103c0 ffffff 1
a203c0 2a203c0 ffffff 3
a303c0 2a303c0 ffffff 0
a403c0 2a403c0 ffffff 3
a503c0 2a503c0 ffffff 2
a603c0 2a603c0 ffffff 1
a703c0 2a703c0 ffffff 0
a803c0 2a803c0 ffffff 1
a903c0 2a903c0 ffffff 2
aa03c0 2aa03c0 ffffff 1
ab03c0 2ab03c0 ffffff 3
ac03c0 2ac03c0 ffffff 2
ad03c0 2ad03c0 ffffff 2
ae03c0 2ae03c0 ffffff 3
af03c0 2af03c0 ffffff 1
b003c0 2b003c0 ffffff 3
b103c0 2b103c0 ffffff 2
b203c0 2b203c0 ffffff 2
b303c0 2b303c0 ffffff 2
b403c0 2b403c0 ffffff 3
b503c0 2b503c0 ffffff 3
b603c0 2b603c0 ffffff 1
b703c0 2b703c0 ffffff 1
b803c0 2b803c0 ffffff 2
b903c0 2b903c0 ffffff 2
ba03c0 2ba03c0 ffffff 3
bb03c0 2bb03c0 ffffff 3
bc03c0 2bc03c0 ffffff 1
bd03c0 2bd03c0 ffffff 2
be03c0 2be03c0 ffffff 2
bf03c0 2bf03c0 ffffff 2
c003c0 2c003c0 ffffff 3
c103c0 2c103c0 ffffff 3
c203c0 2c203c0 ffffff 2
c303c0 2c303c0 ffffff 2
c403c0 2c403c0 ffffff 3
c503c0 2c503c0 ffffff 0
c603c0 2c603c0 ffffff 0
c703c0 2c703c0 ffffff 1
c803c0 2c803c0 ffffff 3
c903c0 2c903c0 ffffff 1
ca03c0 2ca03c0 ffffff 0
cb03c0 2cb03c0 ffffff 1
cc03c0 2cc03c0 ffffff 3
cd03c0 2cd03c0 ffffff 0
ce03c0 2ce03c0 ffffff 1
cf03c0 2cf03c0 ffffff 0
d003c0 2d003c0 ffffff 2
d103c0 2d103c0 ffffff 1
d203c0 2d203c0 ffffff 2
d303c0 2d303c0 ffffff 1
d403c0 2d403c0 ffffff 2
d503c0 2d503c0 ffffff 0
d603c0 2d603c0 ffffff 3
d703c0 2d703c0 ffffff 3
d803c0 2d803c0 ffffff 3
d903c0 2d903c0 ffffff 0
da03c0 2da03c0 ffffff 2
db03c0 2db03c0 ffffff 0
dc03c0 2dc03c0 ffffff 1
dd03c0 2dd03c0 ffffff 2
de03c0 2de03c0 ffffff 3
df03c0 2df03c0 ffffff 1
e003c0 2e003c0 ffffff 3
e103c0 2e103c0 ffffff 3
e203c0 2e203c0 ffffff 2
e303c0 2e303c0 ffffff 0
e403c0 2e403c0 ffffff 0
e503c0 2e503c0 ffffff 1
e603c0 2e603c0 ffffff 2
e703c0 2e703c0 ffffff 1
e803c0 2e803c0 ffffff 1
e903c0 2e903c0 ffffff 1
ea03c0 2ea03c0 ffffff 0
eb03c0 2eb03c0 ffffff 1
ec03c0 2ec03c0 ffffff 0
ed03c0 2ed03c0 ffffff 1
ee03c0 2ee03c0 ffffff 1
ef03c0 2ef03c0 ffffff 0
f003c0 2f003c0 ffffff 2
f103c0 2f103c0 ffffff 2
f203c0 2f203c0 ffffff 0
f303c0 2f303c0 ffffff 2
f403c0 2f403c0 ffffff 1
f503c0 2f503c0 ffffff 1
f603c0 2f603c0 ffffff 3
f703c0 2f703c0 ffffff 1
f803c0 2f803c0 ffffff 2
f903c0 2f903c0 ffffff 2
fa03c0 2fa03c0 ffffff 1
fb03c0 2fb03c0 ffffff 2
fc03c0 2fc03c0 ffffff 0
fd03c0 2fd03c0 ffffff 1
fe03c0 2fe03c0 ffffff 2
ff03c0 2ff03c0 ffffff 2
404c0 20404c0 ffffff 1
504c0 20504c0 ffffff 3
604c0 20604c0 ffffff 0
704c0 20704c0 ffffff 2
804c0 20804c0 ffffff 0
904c0 20904c0 ffffff 0
a04c0 20a04c0 ffffff 3
b04c0 20b04c0 ffffff 3
c04c0 20c04c0 ffffff 3
d04c0 20d04c0 ffffff 0
e04c0 20e04c0 ffffff 3
f04c0 20f04c0 ffffff 0
1004c0 21004c0 ffffff 2
1104c0 21104c0 ffffff 1
1204c0 21204c0 ffffff 0
1304c0 21304c0 ffffff 3
1404c0 21404c0 ffffff 0
1504c0 21504c0 ffffff 1
